day_count,HistoricalDate,OPEN,CLOSE,daily_change,daily_change_perc,year
81,06-09-2022,17695.7,17655.6,-40.1,-0.226608724,2022
82,05-09-2022,17546.45,17665.8,119.35,0.680194569,2022
83,02-09-2022,17598.4,17539.45,-58.95,-0.334973634,2022
84,01-09-2022,17485.7,17542.8,57.1,0.326552554,2022
85,30-08-2022,17414.95,17759.3,344.35,1.977324081,2022
86,29-08-2022,17188.65,17312.9,124.25,0.722860725,2022
87,26-08-2022,17619.3,17558.9,-60.4,-0.3428059,2022
88,25-08-2022,17679,17522.45,-156.55,-0.885513887,2022
89,24-08-2022,17525.45,17604.95,79.5,0.453626012,2022
90,23-08-2022,17357.35,17577.5,220.15,1.268338773,2022
91,22-08-2022,17682.9,17490.7,-192.2,-1.086925787,2022
92,19-08-2022,17966.55,17758.45,-208.1,-1.158263551,2022
93,18-08-2022,17898.65,17956.5,57.85,0.323208734,2022
94,17-08-2022,17868.15,17944.25,76.1,0.425897477,2022
95,16-08-2022,17797.2,17825.25,28.05,0.157609062,2022
96,12-08-2022,17659.65,17698.15,38.5,0.218011116,2022
97,11-08-2022,17711.65,17659,-52.65,-0.297261972,2022
98,10-08-2022,17566.1,17534.75,-31.35,-0.178468755,2022
99,08-08-2022,17401.5,17525.1,123.6,0.710283596,2022
100,05-08-2022,17423.65,17397.5,-26.15,-0.150083364,2022
101,04-08-2022,17463.1,17382,-81.1,-0.464407808,2022
102,03-08-2022,17349.25,17388.15,38.9,0.224217185,2022
103,02-08-2022,17310.15,17345.45,35.3,0.203926598,2022
104,01-08-2022,17243.2,17340.05,96.85,0.561670688,2022
105,29-07-2022,17079.5,17158.25,78.75,0.461079071,2022
106,28-07-2022,16774.85,16929.6,154.75,0.922511975,2022
107,27-07-2022,16475.35,16641.8,166.45,1.010297202,2022
108,26-07-2022,16632.9,16483.85,-149.05,-0.89611553,2022
109,25-07-2022,16662.55,16631,-31.55,-0.189346769,2022
110,22-07-2022,16661.25,16719.45,58.2,0.349313527,2022
111,21-07-2022,16523.55,16605.25,81.7,0.494445806,2022
112,20-07-2022,16562.8,16520.85,-41.95,-0.253278431,2022
113,19-07-2022,16187.05,16340.55,153.5,0.94828891,2022
114,18-07-2022,16151.4,16278.5,127.1,0.786928687,2022
115,15-07-2022,16010.8,16049.2,38.4,0.239838109,2022
116,14-07-2022,16018.85,15938.65,-80.2,-0.50066016,2022
117,13-07-2022,16128.2,15966.65,-161.55,-1.001661686,2022
118,12-07-2022,16126.2,16058.3,-67.9,-0.421053937,2022
119,11-07-2022,16136.15,16216,79.85,0.494851622,2022
120,08-07-2022,16273.65,16220.6,-53.05,-0.325987102,2022
121,07-07-2022,16113.75,16132.9,19.15,0.118842603,2022
122,06-07-2022,15818.2,15989.8,171.6,1.084826339,2022
123,05-07-2022,15909.15,15810.85,-98.3,-0.617883419,2022
124,04-07-2022,15710.5,15835.35,124.85,0.794691448,2022
125,01-07-2022,15703.7,15752.05,48.35,0.307889224,2022
126,30-06-2022,15774.5,15780.25,5.75,0.036451235,2022
127,29-06-2022,15701.7,15799.1,97.4,0.620314998,2022
128,28-06-2022,15757.45,15850.2,92.75,0.588610467,2022
129,27-06-2022,15926.2,15832.05,-94.15,-0.591164245,2022
130,24-06-2022,15657.4,15699.25,41.85,0.267285756,2022
131,23-06-2022,15451.55,15556.65,105.1,0.68019066,2022
132,22-06-2022,15545.65,15413.3,-132.35,-0.851363565,2022
133,21-06-2022,15455.95,15638.8,182.85,1.183039541,2022
134,20-06-2022,15334.5,15350.15,15.65,0.102057452,2022
135,17-06-2022,15272.65,15293.5,20.85,0.136518548,2022
136,16-06-2022,15832.25,15360.6,-471.65,-2.979045935,2022
137,15-06-2022,15729.25,15692.15,-37.1,-0.2358663,2022
138,14-06-2022,15674.25,15732.1,57.85,0.36907667,2022
139,13-06-2022,15877.55,15774.4,-103.15,-0.649659425,2022
140,10-06-2022,16283.95,16201.8,-82.15,-0.504484477,2022
141,09-06-2022,16263.85,16478.1,214.25,1.317338761,2022
